Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
7.76247116628690e+001	-2.27102429411533e+005,6.16425296665919e+007
7.94328234724279e+001	-2.27102429411533e+005,6.02393743840665e+007
8.12830516164097e+001	-2.27102429411533e+005,5.88681588152018e+007
8.31763771102669e+001	-2.27102429411533e+005,5.75281559233532e+007
8.51138038202374e+001	-2.27102429411533e+005,5.62186552212503e+007
8.70963589956078e+001	-2.27102429411533e+005,5.49389623942876e+007
8.91250938133743e+001	-2.27102429411533e+005,5.36883989323895e+007
9.12010839355907e+001	-2.27102429411533e+005,5.24663017702553e+007
9.33254300796988e+001	-2.27102429411533e+005,5.12720229357933e+007
9.54992586021433e+001	-2.27102429411533e+005,5.01049292065573e+007
9.77237220955808e+001	-2.27102429411533e+005,4.89644017740037e+007
9.99999999999997e+001	-2.27102429411533e+005,4.78498359153913e+007
1.02329299228075e+002	-2.27102429411534e+005,4.67606406731486e+007
1.04712854805090e+002	-2.27102429411534e+005,4.56962385415410e+007
1.07151930523760e+002	-2.27102429411534e+005,4.46560651604694e+007
1.09647819614318e+002	-2.27102429411534e+005,4.36395690162388e+007
1.12201845430196e+002	-2.27102429411534e+005,4.26462111491386e+007
1.14815362149688e+002	-2.27102429411534e+005,4.16754648676790e+007
1.17489755493953e+002	-2.27102429411534e+005,4.07268154693322e+007
1.20226443461741e+002	-2.27102429411534e+005,3.97997599676305e+007
1.23026877081238e+002	-2.27102429411534e+005,3.88938068254756e+007
1.25892541179416e+002	-2.27102429411534e+005,3.80084756945200e+007
1.28824955169313e+002	-2.27102429411535e+005,3.71432971604793e+007
1.31825673855640e+002	-2.27102429411535e+005,3.62978124942427e+007
1.34896288259165e+002	-2.27102429411535e+005,3.54715734086490e+007
1.38038426460288e+002	-2.27102429411535e+005,3.46641418207983e+007
1.41253754462275e+002	-2.27102429411535e+005,3.38750896197751e+007
1.44543977074592e+002	-2.27102429411535e+005,3.31039984396581e+007
1.47910838816820e+002	-2.27102429411535e+005,3.23504594376971e+007
1.51356124843620e+002	-2.27102429411536e+005,3.16140730775389e+007
1.54881661891248e+002	-2.27102429411536e+005,3.08944489173882e+007
1.58489319246111e+002	-2.27102429411536e+005,3.01912054029898e+007
1.62181009735892e+002	-2.27102429411536e+005,2.95039696653239e+007
1.65958690743755e+002	-2.27102429411536e+005,2.88323773229058e+007
